message,label
"Виграй iPhone безкоштовно",spam
"Купи зараз з великою знижкою",spam
"Термінова розпродаж тільки сьогодні",spam
"Виграв мільйон у лотерею",spam
"Супер пропозиція тільки для вас",spam
"Гарантований виграш приз",spam
"Отримай безкоштовний подарунок",spam
"Акція знижки 50%",spam
"Швидкий заробіток в інтернеті",spam
"Кредит з низькою ставкою",spam
"Привіт, як справи?",ham
"Зустрінемось о 15:00",ham
"Надсилаю документи для перегляду",ham
"Дякую за допомогу",ham
"Зателефонуй мені будь ласка",ham
"Презентація готова до показу",ham
"Чи можна перенести зустріч?",ham
"Нагадую про завтрашню нараду",ham
"Надішли звіт до кінця дня",ham
"Обговорення проекту завтра",ham